workload,gap_tsc_ticks,k_prefill,median_submit_ns,avg_prefill_submit_tsc_ticks,median_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_completed,max_completed
noop,50,115,9.0,8459.71,8460.0,19137.0,115,115
noop,50,116,9.0,8631.58,8530.0,19360.0,116,116
noop,50,120,9.0,8823.68,8824.0,19834.0,120,120
noop,50,124,9.0,9227.79,9116.0,20552.0,124,124
noop,50,128,9.0,9409.66,9410.0,21177.0,128,128
noop,50,136,9.0,9995.99,9996.0,22388.0,136,136
noop,50,144,9.0,10583.31,10582.0,23766.0,144,144
noop,50,160,9.0,11756.37,11756.0,26228.0,160,160
noop,100,96,13.0,12582.25,12234.0,11718.0,96,96
noop,100,108,13.0,13302.37,13304.0,13169.0,108,108
noop,100,112,11.0,14073.18,13761.0,13396.0,112,112
noop,100,114,10.0,14654.91,14943.0,12485.0,114,114
noop,100,115,9.0,14217.01,13518.0,13972.0,115,115
noop,100,116,9.0,14156.27,13635.0,14103.0,116,116
noop,100,120,10.0,15791.35,15738.0,13187.0,120,120
noop,100,124,10.0,16320.38,16261.0,13615.0,124,124
noop,100,128,10.0,16778.74,16776.0,14054.0,128,128
noop,100,136,9.0,16128.38,15980.0,16331.0,136,136
noop,100,144,9.0,16919.93,16918.0,17272.0,144,144
noop,100,160,9.0,18796.57,18796.0,19202.0,160,160
memmove1m,0,96,39.0,530.9,446.0,2218623.0,26,30
memmove1m,0,108,39.0,710.49,510.0,2236797.0,26,31
memmove1m,0,112,39.0,638.28,512.0,2235444.0,26,30
memmove1m,0,114,108.0,606.81,516.0,2229785.0,26,31
memmove1m,0,115,111.0,640.55,522.0,2248696.0,27,30
memmove1m,0,116,112.0,685.54,592.0,2239436.0,27,30
memmove1m,0,120,108.0,1577.75,1520.0,2238824.0,23,29
memmove1m,0,124,105.0,2472.89,2452.0,2236119.0,23,30
memmove1m,0,128,106.0,3364.34,3360.0,2243294.0,27,30
memmove1m,0,136,198.0,5293.18,5224.0,2250778.0,26,30
memmove1m,0,144,36.5,8023.67,7679.0,2225999.0,27,31
memmove1m,0,160,106.0,11112.6,11102.0,2220746.0,27,31
memmove1m,1,96,73.0,5737.34,5516.0,2217202.0,27,30
memmove1m,1,108,9.0,8426.03,8712.0,2230946.0,27,31
memmove1m,1,112,9.0,8739.9,8863.0,2232302.0,27,112
memmove1m,1,114,9.0,8778.16,8975.0,2229111.0,27,30
memmove1m,1,115,9.0,8892.85,8995.0,2229802.0,27,30
memmove1m,1,116,9.0,8936.18,9041.0,2226010.0,27,30
memmove1m,1,120,9.0,9009.81,9149.0,2234798.0,27,28
memmove1m,1,124,9.0,9204.47,9266.0,2234680.0,27,30
memmove1m,1,128,9.0,9252.04,9378.0,2228651.0,27,30
memmove1m,1,136,9.0,9512.08,9635.0,2240215.0,27,30
memmove1m,1,144,70.0,9686.19,9856.0,2218269.0,28,31
memmove1m,1,160,106.0,12742.59,12819.0,2223627.0,28,31
memmove1m,10,96,9.0,7917.62,8408.0,2212928.0,26,30
memmove1m,10,108,9.0,8799.55,8825.0,2229190.0,26,31
memmove1m,10,112,9.0,8913.21,8946.0,2228486.0,27,31
memmove1m,10,114,9.0,9013.11,9000.0,2226481.0,27,30
memmove1m,10,115,9.0,8772.49,8980.0,2242618.0,28,30
memmove1m,10,116,9.0,8928.51,9042.0,2231507.0,27,30
memmove1m,10,120,9.0,9220.75,9136.0,2236048.0,27,30
memmove1m,10,124,9.0,9157,9266.0,2244878.0,27,29
memmove1m,10,128,9.0,9291.21,9401.0,2246505.0,27,28
memmove1m,10,136,9.0,9653.46,9646.0,2248927.0,27,29
memmove1m,10,144,53.5,9809.4,9835.0,2228861.0,28,31
memmove1m,10,160,105.0,12761.19,12811.0,2220683.0,28,31
memmove1m,25,96,9.0,9534.35,9675.0,2213038.0,27,30
memmove1m,25,108,9.0,9957.44,10205.0,2230218.0,27,31
memmove1m,25,112,9.0,10554.04,10418.0,2224255.0,27,30
memmove1m,25,114,9.0,10372.26,10490.0,2224992.0,27,31
memmove1m,25,115,9.0,10472.6,10540.0,2245321.0,27,115
memmove1m,25,116,9.0,10454.9,10610.0,2228627.0,27,30
memmove1m,25,120,9.0,10622.25,10752.0,2234342.0,27,92
memmove1m,25,124,9.0,10825.87,10947.0,2239145.0,27,29
memmove1m,25,128,9.0,11032.76,11132.0,2240457.0,27,30
memmove1m,25,136,9.0,11436.88,11502.0,2242827.0,27,30
memmove1m,25,144,9.0,11764,11822.0,2256910.0,28,31
memmove1m,25,160,105.0,12769.68,12770.0,2223755.0,28,31
memmove1m,50,96,9.0,12115.59,12254.0,2214627.0,27,32
memmove1m,50,108,9.0,13132.8,13144.0,2229414.0,27,31
memmove1m,50,112,9.0,13333.99,13431.0,2228827.0,27,30
memmove1m,50,114,9.0,13393.6,13573.0,2229571.0,27,30
memmove1m,50,115,9.0,13555.32,13604.0,2250866.0,27,30
memmove1m,50,116,9.0,13655.54,13731.0,2227716.0,27,30
memmove1m,50,120,9.0,13998.91,14036.0,2234317.0,27,30
memmove1m,50,124,9.0,14179.57,14308.0,2238749.0,27,30
memmove1m,50,128,9.0,14621.4,14610.0,2237482.0,27,30
memmove1m,50,136,9.0,15160.71,15218.0,2243621.0,27,30
memmove1m,50,144,9.0,15688.78,15756.0,2251272.0,28,31
memmove1m,50,160,9.0,16830.39,16948.0,2216158.0,28,31
memmove1m,100,96,9.0,16200.18,16214.0,2217602.0,27,30
memmove1m,100,108,9.0,17665.16,17629.0,2225807.0,27,31
memmove1m,100,112,9.0,18051.5,18112.0,2223937.0,27,112
memmove1m,100,114,9.0,18520.8,18327.0,2229270.0,27,30
memmove1m,100,115,9.0,18443.05,18458.0,2247307.0,28,30
memmove1m,100,116,9.0,18567.14,18523.0,2225052.0,27,30
memmove1m,100,120,9.0,18970.2,19001.0,2231976.0,27,31
memmove1m,100,124,9.0,19559.57,19478.0,2238458.0,27,30
memmove1m,100,128,9.0,19946.25,19929.0,2239686.0,27,30
memmove1m,100,136,9.0,20854.73,20914.0,2237961.0,27,30
memmove1m,100,144,9.0,21803.37,21820.0,2255569.0,28,31
memmove1m,100,160,9.0,23689.99,23726.0,2223684.0,28,31
