workload,gap_tsc_ticks,k_prefill,median_submit_ns,p90_submit_ns,p99_submit_ns,avg_prefill_submit_tsc_ticks,median_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_completed,max_completed,errors_min,errors_max
noop,10,288,106.0,110,111,40941.01,40816.0,27572.0,288,288,0,0
noop,10,320,105.0,110,111,48334.35,48343.0,27748.0,320,320,0,0
noop,25,96,13.0,13,14,6984.19,5914.0,18137.0,96,96,0,0
noop,25,114,13.0,13,14,7021.51,7020.0,21637.0,114,114,0,0
noop,25,128,11.0,13,13,7313.56,7350.0,24836.0,128,128,0,0
noop,25,160,106.0,111,112,10973.23,10911.0,29521.0,160,160,0,0
noop,25,192,105.0,110,111,18399.88,18398.0,28728.0,192,192,0,0
noop,25,224,105.0,110,111,26014.91,25886.0,29050.0,224,224,0,0
noop,25,256,105.0,111,111,33412.96,33352.0,29475.0,256,256,0,0
noop,25,288,105.0,110,111,40984.22,40858.0,29850.0,288,288,0,0
noop,25,320,105.0,110,112,48345.88,48342.0,30220.0,320,320,0,0
noop,50,96,13.0,13,14,8071.18,7876.0,15901.0,96,96,0,0
noop,50,114,13.0,13,14,9347.46,9348.0,18556.0,114,114,0,0
noop,50,128,10.0,13,13,9627.25,9410.0,21210.0,128,128,0,0
noop,50,160,10.0,14,30,12519.73,12663.0,25735.0,160,160,0,0
noop,50,192,106.0,110,112,18404.61,18404.0,27158.0,192,192,0,0
noop,50,224,105.0,110,112,25902.73,25902.0,27265.0,224,224,0,0
noop,50,256,106.0,111,111,33531.75,33398.0,27398.0,256,256,0,0
noop,50,288,105.0,110,111,40912.52,40892.0,27544.0,288,288,0,0
noop,50,320,105.0,110,111,48488.47,48389.0,27677.0,320,320,0,0
noop,100,96,13.0,269,369,12581.83,11872.0,11732.0,96,96,0,0
noop,100,114,13.0,13,14,14047.37,14042.0,13803.0,114,114,0,0
noop,100,128,13.0,13,13,16774.12,15815.0,15397.0,128,128,0,0
noop,100,160,10.0,10,11,21214.78,20980.0,17499.0,160,160,0,0
noop,100,192,10.0,10,11,25227.2,25160.0,20771.0,192,192,0,0
noop,100,224,105.0,110,111,26886.58,26304.0,26837.0,224,224,0,0
noop,100,256,105.5,111,112,33446.26,33440.0,27360.0,256,256,0,0
noop,100,288,106.0,110,111,41029.55,40934.0,27487.0,288,288,0,0
noop,100,320,105.0,110,111,48545.98,48413.0,27610.0,320,320,0,0
noop,150,96,13.0,15,52,19386.87,18313.0,5176.0,96,96,0,0
noop,150,114,13.0,13,14,20989.7,20990.0,6908.0,114,114,0,0
noop,150,128,12.0,13,13,23575.37,23564.0,7710.0,128,128,0,0
noop,150,160,10.0,13,13,30549.76,28192.0,9819.0,160,160,0,0
noop,150,192,9.0,9,9,33908.83,33828.0,11710.0,192,192,0,0
noop,150,224,9.0,9,9,39505.02,39452.0,13743.0,224,224,0,0
noop,150,256,9.0,9,9,45274.36,45095.0,15678.0,256,256,0,0
noop,150,288,9.0,9,9,50801.83,50729.0,17698.0,288,288,0,0
noop,150,320,9.0,9,9,56467.66,56362.0,19646.0,320,320,0,0
noop,200,96,13.0,13,16,22216.36,21602.0,2504.0,96,96,0,0
noop,200,114,13.0,13,14,25693.45,25646.0,3140.0,114,114,0,0
noop,200,128,10.0,13,13,30975.48,28866.0,3158.0,128,128,0,0
noop,200,160,9.0,9,9,35284.32,35220.0,5144.0,160,160,0,0
noop,200,192,9.0,9,10,42303.68,42258.0,4803.0,192,192,0,0
noop,200,224,9.0,9,9,49490.95,49298.0,5629.0,224,224,0,0
noop,200,256,9.0,9,9,56379.94,56336.0,6574.0,256,256,0,0
noop,200,288,9.0,9,10,63464.05,63374.0,7310.0,288,288,0,0
noop,200,320,9.0,9,10,70492.33,70414.0,8192.0,320,320,0,0
noop,300,96,13.0,13,14,32614.43,31431.0,1706.0,96,96,0,0
noop,300,114,13.0,13,13,37336.61,37290.0,2091.0,114,114,0,0
noop,300,128,9.0,11,11,41652.89,41322.0,2133.0,128,128,0,0
noop,300,160,9.0,9,9,51717.76,51642.0,2380.0,160,160,0,0
noop,300,192,9.0,10,10,62313,61970.0,2920.0,192,192,0,0
noop,300,224,9.0,9,10,74457.71,72298.0,3242.0,224,224,0,0
noop,300,256,9.0,9,9,82651.78,82616.0,3488.0,256,256,0,0
noop,300,288,9.0,9,9,92983.25,92940.0,4001.0,288,288,0,0
noop,300,320,9.0,9,9,103367.34,103264.0,4332.0,320,320,0,0
memmove1m,0,96,39.0,199,839,660.38,480.0,2219522.0,25,30,0,0
memmove1m,0,114,110.5,126,639,635.31,546.0,2233382.0,26,30,0,0
memmove1m,0,128,106.0,111,279,3570.04,3389.0,2241549.0,27,128,0,3
memmove1m,0,160,106.0,110,113,11288.43,11116.0,2256473.0,31,33,3,3
memmove1m,0,192,106.0,111,116,18558.85,18532.0,2249473.0,31,33,3,3
memmove1m,0,224,106.0,110,114,26135.42,25980.0,2284944.0,31,34,3,3
memmove1m,0,256,106.0,110,115,33464.98,33407.0,2245871.0,30,34,3,3
memmove1m,0,288,107.0,111,115,41003.67,40858.0,2251077.0,30,34,3,3
memmove1m,0,320,106.0,111,115,48465.85,48264.0,2283483.0,31,34,3,3
memmove1m,1,96,52.0,238,282,5796.24,5488.0,2215946.0,27,30,0,0
memmove1m,1,114,9.0,9,13,8759.06,8868.0,2223223.0,27,30,0,0
memmove1m,1,128,9.0,9,14,9323.23,9395.0,2238650.0,27,33,0,3
memmove1m,1,160,106.0,109,114,12854.93,12858.0,2253838.0,31,34,3,3
memmove1m,1,192,106.0,111,115,20276.08,20282.0,2247965.0,32,34,3,3
memmove1m,1,224,106.0,110,113,27557.46,27570.0,2285109.0,32,34,3,3
memmove1m,1,256,108.0,111,114,35202.59,35143.0,2245181.0,32,34,3,3
memmove1m,1,288,106.0,110,113,42484.67,42485.0,2249268.0,31,34,3,3
memmove1m,1,320,108.0,112,114,49775.15,49866.0,2264487.0,31,34,3,3
memmove1m,10,96,9.0,79,282,7850.37,8359.0,2213710.0,27,30,0,0
memmove1m,10,114,9.0,9,12,8850.96,8988.0,2226735.0,27,30,0,0
memmove1m,10,128,9.0,9,33,9270.13,9395.0,2240713.0,27,30,0,0
memmove1m,10,160,106.0,109,113,12874.45,12891.0,2221052.0,28,31,0,0
memmove1m,10,192,106.0,111,113,20575.77,20250.0,2249132.0,28,31,0,0
memmove1m,10,224,106.0,110,114,27691.17,27663.0,2286996.0,28,31,0,0
memmove1m,10,256,106.0,109,114,35101.39,35114.0,2244706.0,28,31,0,0
memmove1m,10,288,106.0,111,115,42321.04,42416.0,2248778.0,28,31,0,0
memmove1m,10,320,106.0,110,114,49774.91,49829.0,2262953.0,28,31,0,0
memmove1m,25,96,9.0,10,12,9090.03,9596.0,2214247.0,27,30,0,0
memmove1m,25,114,9.0,9,10,10333.13,10399.0,2223915.0,27,30,0,0
memmove1m,25,128,9.0,9,12,11053.23,11132.0,2236328.0,27,128,0,3
memmove1m,25,160,106.0,110,115,12886.34,12821.0,2254259.0,31,34,3,3
memmove1m,25,192,106.0,110,114,20301.4,20237.0,2245582.0,31,34,3,3
memmove1m,25,224,106.0,111,115,27731.02,27674.0,2288809.0,31,34,3,3
memmove1m,25,256,106.0,110,115,35168.93,35090.0,2245256.0,31,35,3,3
memmove1m,25,288,107.0,111,115,42588.16,42481.0,2250529.0,31,34,3,3
memmove1m,25,320,107.0,110,115,49965.83,49973.0,2263484.0,31,34,3,3
memmove1m,50,96,9.0,9,11,12083.91,12234.0,2214786.0,27,30,0,0
memmove1m,50,114,9.0,9,9,13531.23,13573.0,2227225.0,27,31,0,0
memmove1m,50,128,9.0,9,9,14607.53,14611.0,2238398.0,27,31,0,0
memmove1m,50,160,9.0,9,9,16874.38,16939.0,2220934.0,28,140,0,0
memmove1m,50,192,106.0,109,112,20149.74,20184.0,2250551.0,28,140,0,0
memmove1m,50,224,106.0,110,112,27703.17,27616.0,2287022.0,28,31,0,0
memmove1m,50,256,106.0,109,114,34962.73,35078.0,2245514.0,28,31,0,0
memmove1m,50,288,106.0,110,113,42381.57,42532.0,2249299.0,28,31,0,0
memmove1m,50,320,106.0,111,115,49951.76,49958.0,2265998.0,28,31,0,0
memmove1m,100,96,9.0,9,11,18036.91,16034.0,2225205.0,27,31,0,0
memmove1m,100,114,9.0,9,11,18141.88,18188.0,2227107.0,27,31,0,0
memmove1m,100,128,9.0,9,10,19873.48,19910.0,2228593.0,27,33,0,3
memmove1m,100,160,9.0,9,10,23651.59,23728.0,2241665.0,31,34,3,3
memmove1m,100,192,9.0,9,9,27490.41,27456.0,2235996.0,31,34,3,3
memmove1m,100,224,9.0,9,10,31305.55,31257.0,2280489.0,31,34,3,3
memmove1m,100,256,106.0,110,114,35662.38,35323.0,2242213.0,31,34,3,3
memmove1m,100,288,107.0,111,114,42832.43,42770.0,2248716.0,31,34,3,3
memmove1m,100,320,106.0,110,114,50442.23,50212.0,2259137.0,32,34,3,3
memmove1m,150,96,9.0,9,10,21035.89,21190.0,2228127.0,26,30,0,0
memmove1m,150,114,9.0,9,9,24296.84,24343.0,2228607.0,27,30,0,0
memmove1m,150,128,9.0,9,10,26746.2,26834.0,2240874.0,27,30,0,0
memmove1m,150,160,9.0,9,10,32365.43,32418.0,2258924.0,28,31,0,0
memmove1m,150,192,9.0,9,9,38261.49,38099.0,2232779.0,28,31,0,0
memmove1m,150,224,9.0,9,10,43657.71,43728.0,2271996.0,28,31,0,0
memmove1m,150,256,9.0,9,11,49270.92,49329.0,2231757.0,28,31,0,0
memmove1m,150,288,9.0,9,10,54880.95,54953.0,2237909.0,28,31,0,0
memmove1m,150,320,9.0,9,15,60853.01,60634.0,2253642.0,28,31,0,0
memmove1m,200,96,9.0,9,12,25237.75,25376.0,2233600.0,27,30,0,0
memmove1m,200,114,9.0,9,9,29342.05,29402.0,2225993.0,27,31,0,0
memmove1m,200,128,9.0,9,10,32387.04,32416.0,2235992.0,27,128,0,0
memmove1m,200,160,9.0,9,10,39516.37,39542.0,2259578.0,28,31,0,0
memmove1m,200,192,9.0,9,10,46458.78,46495.0,2227185.0,28,31,0,0
memmove1m,200,224,9.0,9,12,53544.55,53528.0,2265705.0,28,31,0,0
memmove1m,200,256,9.0,9,10,60736.66,60613.0,2224021.0,28,31,0,0
memmove1m,200,288,9.0,9,9,67560.42,67622.0,2228706.0,28,31,0,0
memmove1m,200,320,9.0,9,14,74707.85,74717.0,2241307.0,28,31,0,0
memmove1m,300,96,9.0,9,10,34553.45,34609.0,2231068.0,27,30,0,0
memmove1m,300,114,9.0,9,10,40211.67,40351.0,2229363.0,27,33,0,0
memmove1m,300,128,9.0,9,10,45079.15,45024.0,2228242.0,27,33,0,3
memmove1m,300,160,9.0,9,10,55359.02,55453.0,2234597.0,30,33,3,3
memmove1m,300,192,9.0,9,12,65669.62,65755.0,2222842.0,30,33,3,3
memmove1m,300,224,9.0,9,10,76044.86,76108.0,2265218.0,31,34,3,3
memmove1m,300,256,9.0,9,10,86448.72,86435.0,2222896.0,31,33,3,3
memmove1m,300,288,9.0,9,9,96896.82,96713.0,2229445.0,31,34,3,3
memmove1m,300,320,9.0,9,11,107172.49,107065.0,2318153.0,32,35,3,3
